id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
278158,Comfy & Cozy Room for Travelers,1451910,Mike & Deborah,,Scripps Ranch,32.90847,-117.08776,Private room,68,1,61,2021-12-16,0.53,2,354,26,
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,,Loma Portal,32.73183,-117.2427,Entire home/apt,235,3,23,2019-08-06,0.20,1,3,0,
281817,Private & Quiet Detached Cottage. No A/C,1468925,Sam,,South Park,32.72836,-117.12349,Entire home/apt,95,60,213,2021-05-28,1.76,1,295,2,
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74277,-117.17735,Entire home/apt,68,2,313,2021-12-05,2.58,2,19,62,
292285,Sleek & Modern OB Condo 2+2 BCH,466847,Heather,,Loma Portal,32.75031,-117.23056,Entire home/apt,91,31,51,2021-09-06,0.49,1,63,3,
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,,West University Heights,32.75906,-117.14445,Entire home/apt,247,1,263,2021-12-01,2.55,5,247,26,
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73464,-117.16452,Entire home/apt,115,28,49,2021-11-21,0.40,1,180,8,
331892,In the heart of San Diego and UCSD Medical Center,1689428,Gene,,Midtown,32.74957,-117.16708,Private room,65,2,90,2020-02-19,0.76,1,354,0,
343495,Private & Cozy Bohemian OB Cottage,1012168,Chuck & Helen,,Ocean Beach,32.75152,-117.24682,Entire home/apt,138,4,348,2021-11-29,3.31,1,117,8,
359971,Hillcrest - (close to Zoo & Balboa Park),1821106,Marcela,,West University Heights,32.75568,-117.14679,Entire home/apt,99,45,83,2020-07-31,0.70,1,239,0,
366811,Private Floor to yourselves with game room,1852011,Brian,,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,90,3,290,2021-12-19,2.48,1,74,16,
385760,"Super location,  beautiful neighborhood",1486293,Ann,,Loma Portal,32.75711,-117.22541,Private room,22,31,89,2021-09-10,0.76,1,264,3,
393042,Twin Bed  Upstairs,164137,Melinda,,Roseville,32.74036,-117.21963,Private room,122,1,46,2020-02-16,0.40,3,78,0,
394524,Private Studio a few steps away from the beach,1972369,Edward,,Pacific Beach,32.80135,-117.25774,Entire home/apt,148,2,128,2021-09-29,1.11,1,261,29,
396390,Independent room in the back garden,1980775,Shirley,,Midtown,32.74359,-117.17584,Entire home/apt,80,3,178,2021-11-26,1.54,1,349,26,
401431,Charming Ocean Beach cottage,2003694,Edwin,,Ocean Beach,32.75103,-117.24745,Entire home/apt,175,2,63,2021-11-28,0.54,3,226,9,
410726,Wonderful La Jolla Beach Retreat!,2044776,Mauricio,,La Jolla,32.83452,-117.27772,Entire home/apt,250,3,171,2020-11-29,1.49,1,4,0,
426121,Sunset Suites - Charming Apt with Roof-top Patio,2118023,Tricia,,Midtown,32.74271,-117.1773,Entire home/apt,115,1,122,2021-11-27,1.04,1,205,6,
438786,1925 Hillcrest home w Large Outdoor Living Patio!,2165667,Camila,,North Hills,32.74966,-117.14462,Entire home/apt,99,1,535,2021-12-03,5.90,2,295,61,
443994,Serene San Diego Canyon Getaway,2205580,Al,,Clairemont Mesa,32.80279,-117.18976,Entire home/apt,125,30,172,2021-12-04,1.49,2,17,5,
